time,fcnt,LDR_E,LDR_W,wake_time_s,E_solar_mWh,V_solar_V,I_solar_mA,E_logic_mWh,V_logic_V,I_logic_mA
2025-08-15 00:01:05.197191271+00:00,49,1023,992,3,0,0,0,0.09,4.91,22.74
2025-08-15 00:31:09.168575186+00:00,50,1023,996,3,0,0,0,0.09,4.91,22.79
2025-08-15 01:01:13.125610929+00:00,51,1023,994,3,0,0,0,0.09,4.91,22.7
2025-08-15 01:31:17.130669331+00:00,52,1023,996,3,0,0,0,0.09,4.9,22.44
2025-08-15 02:01:21.055487415+00:00,53,1023,996,3,0,0,0,0.09,4.9,22.51
2025-08-15 02:31:25.055748482+00:00,54,1023,999,3,0,0.2,0,0.09,4.9,23
2025-08-15 03:01:29.983878729+00:00,55,1023,997,3,0,0,0,0.09,4.9,23.18
2025-08-15 04:01:37.929300185+00:00,57,1023,975,3,0,0.3,0,0.09,4.9,22.14
2025-08-15 04:31:42.883682865+00:00,58,1023,610,3,0,3.23,0.04,0.09,4.9,22.04
2025-08-15 04:41:46.869032683+00:00,59,1023,430,3,0,3.51,0.28,0.09,4.9,23.1
2025-08-15 04:51:51.852898947+00:00,60,1023,311,3,0,3.61,1.23,0.09,4.9,22.72
2025-08-15 05:01:55.878366267+00:00,61,1023,225,3,0.01,4.09,2.96,0.09,4.9,23.16
2025-08-15 05:11:59.853086177+00:00,62,1023,208,3,0.01,4.06,3.04,0.09,4.9,22.41
2025-08-15 05:22:04.841856493+00:00,63,1023,190,3,0.01,4.06,3.2,0.09,4.9,22.68
2025-08-15 05:32:08.806107140+00:00,64,1023,150,3,0.01,4.07,5.26,0.09,4.9,23.18
2025-08-15 05:42:12.794438869+00:00,65,1023,128,3,0.03,4.08,10.13,0.09,4.9,23.5
2025-08-15 05:52:16.782703354+00:00,66,1023,128,3,0.02,4.08,8.65,0.09,4.9,22.74
2025-08-15 06:02:20.778501110+00:00,67,1023,82,3,0.04,4.09,13.38,0.09,4.9,22.57
2025-08-15 06:12:24.801305790+00:00,68,1023,66,3,0.08,4.13,24.16,0.09,4.9,22.85
2025-08-15 06:22:29.790095438+00:00,69,1023,71,3,0.1,4.15,29.18,0.09,4.9,23.23
2025-08-15 06:32:33.763504106+00:00,70,1023,47,3,0.09,4.15,28.71,0.09,4.9,22.66
2025-08-15 06:42:37.725943366+00:00,71,1023,70,3,0.13,4.19,37.74,0.09,4.9,22.74
2025-08-15 06:52:42.718266928+00:00,72,1023,66,3,0.11,4.17,32.55,0.09,4.9,23.24
2025-08-15 07:02:46.697719697+00:00,73,1023,64,3,0.11,4.17,34.44,0.09,4.9,23.38
