time,fcnt,Im_solar,Im_logic,Vm_solar,Vm_logic,solar_mWh,logic_mWh
2025-07-29 00:02:37.816721886+00:00,149,-0.37,22.7,0.55,4.85,0,9.165
2025-07-29 00:07:37.770772635+00:00,150,-0.37,22.65,0.55,4.85,0,9.148
2025-07-29 00:12:37.746784363+00:00,151,-0.38,22.74,0.55,4.85,0,9.183
2025-07-29 00:17:37.717708803+00:00,152,-0.38,22.7,0.55,4.85,0,9.165
2025-07-29 00:22:37.671689086+00:00,153,-0.39,22.72,0.55,4.85,0,9.172
2025-07-29 00:27:37.649315687+00:00,154,-0.38,22.78,0.55,4.85,0,9.199
2025-07-29 00:32:37.592918322+00:00,155,-0.37,22.75,0.55,4.85,0,9.186
2025-07-29 00:37:37.561725751+00:00,156,-0.37,22.67,0.55,4.85,0,9.154
2025-07-29 00:42:37.499416614+00:00,157,-0.39,22.78,0.55,4.85,0,9.196
2025-07-29 00:47:37.443299008+00:00,158,-0.39,22.78,0.55,4.85,0,9.198
2025-07-29 00:52:37.400027155+00:00,159,-0.38,22.66,0.55,4.85,0,9.151
2025-07-29 00:57:37.367284370+00:00,160,-0.37,22.76,0.55,4.84,0,9.186
2025-07-29 01:02:37.341995443+00:00,161,-0.38,22.67,0.55,4.84,0,9.151
2025-07-29 01:07:37.293672548+00:00,162,-0.36,22.69,0.55,4.85,0,9.159
2025-07-29 01:12:37.258138588+00:00,163,-0.38,22.82,0.55,4.84,0,9.209
2025-07-29 01:17:37.217546833+00:00,164,-0.37,22.72,0.55,4.84,0,9.168
2025-07-29 01:22:37.195621203+00:00,165,-0.38,22.7,0.55,4.84,0,9.162
2025-07-29 01:27:37.158802239+00:00,166,-0.39,22.75,0.55,4.84,0,9.183
2025-07-29 01:32:37.113684495+00:00,167,-0.38,22.74,0.55,4.84,0,9.176
2025-07-29 01:37:37.158750272+00:00,168,-0.37,22.74,0.55,4.84,0,9.176
2025-07-29 01:42:37.100450886+00:00,169,-0.37,22.73,0.55,4.84,0,9.173
2025-07-29 01:47:37.057189733+00:00,170,-0.37,22.73,0.55,4.84,0,9.172
2025-07-29 01:52:37.022973808+00:00,171,-0.38,22.67,0.55,4.84,0,9.144
2025-07-29 01:57:36.944118751+00:00,172,-0.37,22.71,0.55,4.84,0,9.16
2025-07-29 02:02:36.904864845+00:00,173,-0.37,22.75,0.55,4.84,0,9.176
2025-07-29 02:07:36.863350924+00:00,174,-0.39,22.71,0.55,4.84,0,9.159
2025-07-29 02:12:36.836368494+00:00,175,-0.36,22.75,0.55,4.84,0,9.175
2025-07-29 02:17:36.793945487+00:00,176,-0.36,22.71,0.55,4.84,0,9.163
2025-07-29 02:22:36.762593192+00:00,177,-0.38,22.71,0.55,4.84,0,9.16
2025-07-29 02:27:36.756153232+00:00,178,-0.38,22.75,0.55,4.84,0,9.174
2025-07-29 02:32:36.743735148+00:00,179,-0.36,22.7,0.55,4.84,0,9.152
2025-07-29 02:37:36.741073760+00:00,180,-0.37,22.66,0.55,4.84,0,9.138
2025-07-29 02:42:36.674149548+00:00,181,-0.37,22.67,0.55,4.84,0,9.142
2025-07-29 02:47:36.642475623+00:00,182,-0.37,22.72,0.55,4.84,0,9.162
2025-07-29 02:52:36.616531994+00:00,183,-0.38,22.71,0.55,4.84,0,9.155
2025-07-29 02:57:36.566683698+00:00,184,-0.38,22.68,0.55,4.84,0,9.141
2025-07-29 03:02:36.608196815+00:00,185,-0.38,22.69,0.55,4.84,0,9.154
2025-07-29 03:07:36.598753744+00:00,186,-0.37,22.75,0.56,4.84,0,9.182
2025-07-29 03:12:36.552323525+00:00,187,-0.38,22.7,0.56,4.84,0,9.159
2025-07-29 03:17:36.546643900+00:00,188,-0.37,22.68,0.56,4.84,0,9.15
2025-07-29 03:22:36.404373656+00:00,189,-0.38,22.68,0.57,4.84,0,9.147
2025-07-29 03:27:36.359042597+00:00,190,-0.39,22.74,0.58,4.84,0,9.175
2025-07-29 03:32:36.320238437+00:00,191,-0.41,22.65,0.62,4.84,0,9.14
2025-07-29 03:37:36.268798185+00:00,192,-0.46,22.66,0.7,4.84,0,9.14
2025-07-29 03:42:36.247751451+00:00,193,-0.47,22.75,0.85,4.84,0,9.176
2025-07-29 03:47:36.218069810+00:00,194,-0.44,22.74,1.07,4.84,0,9.174
2025-07-29 03:52:36.184262707+00:00,195,-0.34,22.62,1.5,4.84,0,9.123
2025-07-29 03:57:36.148152317+00:00,196,-0.31,22.66,2.2,4.84,0,9.139
