time,fcnt,curDeg,tgtDeg,LDR_E,LDR_W,wake_time_s,E_logic_mWh,Ei_motor_mWh,Ea_motor_mWh,E_solar_mWh,V_logic_V,I_logic_mA,Vi_motor_V,Ii_motor_mA,Va_motor_V,Ia_motor_mA,V_solar_V,I_solar_mA
2025-08-14 10:55:14.513038240+00:00,0,39.6,-14,337,74,9,0.22,0,0.22,1.63,4.85,30.48,5.12,0.1,5.05,44.78,4.57,237.12
2025-08-14 11:05:19.785890443+00:00,1,-14.5,-11.8,33,14,3,0.12,0,0.05,0.8,4.86,29.16,5.12,0.06,5.08,33.07,4.54,212.54
2025-08-14 11:15:26.656826121+00:00,2,31.9,-9.8,229,65,6,0.14,0,0.12,1.02,4.84,30.68,5.12,0.11,5.06,55.18,4.57,235.39
2025-08-14 11:28:06.774428856+00:00,0,-5.7,-7.4,30,13,3,0.15,0,0.09,1.05,4.85,29.1,5.12,0.11,5.09,33.51,4.54,224.26
2025-08-14 11:38:09.942746247+00:00,1,-4.9,-5.4,36,32,2,0.08,0,0,0.37,4.86,28.56,5.12,0.06,5.02,42,4.47,154.61
2025-08-14 11:48:12.917193338+00:00,2,-1.9,-3.3,36,33,2,0.08,0,0.01,0.35,4.86,28.1,5.12,0.12,5.08,78.3,4.45,140.2
2025-08-14 11:58:15.877725403+00:00,3,-0.6,-1.3,36,19,2,0.07,0,0,0.47,4.86,28.15,5.12,0.08,5.06,39.9,4.5,192.26
2025-08-14 12:08:20.048702072+00:00,4,14,0.9,29,18,3,0.09,0,0.04,0.64,4.86,28.87,5.12,0.08,5.07,61.04,4.53,216.26
2025-08-14 12:18:24.019779521+00:00,5,14.9,2.9,32,12,3,0.1,0,0.04,0.9,4.86,31.41,5.12,0.13,5.08,46.35,4.61,286.53
2025-08-14 12:28:32.189551776+00:00,6,82.1,4.9,384,104,7,0.16,0,0.16,0.93,4.87,29.09,5.12,0.11,5.08,53.86,4.49,187.4
2025-08-14 12:38:41.363743001+00:00,7,89.8,7,396,74,8,0.23,0,0.19,1.5,4.86,33.21,5.13,0.06,5.09,41.4,4.54,228.43
2025-08-14 12:48:45.760103995+00:00,8,14,9,17,9,4,0.16,0,0.09,1.4,4.87,31.42,5.13,0.07,5.09,33.96,4.61,295.68
2025-08-14 12:58:53.906849131+00:00,9,87.4,11,383,76,7,0.17,0,0.14,1.03,4.87,33.13,5.13,0.13,5.08,56.21,4.53,219.82
2025-08-14 13:07:45.910712862+00:00,0,14.7,12.8,46,47,4,0.16,0,0.1,0.43,4.88,29.07,5.13,0.07,5.1,32.2,4.3,86.59
2025-08-14 13:17:50.426355444+00:00,1,36,14.8,12,13,3,0.1,0,0.04,1.03,4.87,31.26,5.13,0.07,5.08,57.01,4.64,333.98
2025-08-14 13:27:55.252488037+00:00,2,4.9,16.9,51,58,3,0.11,0,0.04,0.32,4.87,31.09,5.12,0.11,5.09,44.28,4.4,101.41
2025-08-14 13:37:59.420365989+00:00,3,37,18.9,20,11,3,0.1,0,0.04,1,4.88,28.86,5.13,0.09,5.08,48.7,4.61,306.61
2025-08-14 13:48:02.926535648+00:00,4,30.4,20.9,13,13,2,0.1,0,0.03,0.98,4.88,31.49,5.13,0.09,5.08,44.75,4.62,311.49
2025-08-14 13:58:06.163843799+00:00,5,20.4,22.9,38,60,2,0.09,0,0.01,0.24,4.88,31.57,5.13,0.12,5.09,38.85,4.4,95.11
2025-08-14 14:08:09.301431733+00:00,6,30,24.9,31,13,2,0.09,0,0.01,1.33,4.87,31.85,5.12,0.09,5.09,42.63,4.79,477.05
2025-08-14 14:18:12.648586960+00:00,7,37,27,14,15,2,0.09,0,0.02,0.9,4.87,31.44,5.12,0.08,5.06,53.95,4.62,319.82
2025-08-14 14:28:15.741766047+00:00,8,38.5,29,15,14,2,0.1,0,0.03,1.36,4.88,30.79,5.13,0.11,5.07,54.41,4.76,448.67
2025-08-14 14:38:18.127802881+00:00,9,28.7,31.2,43,35,2,0.09,0,0.01,0.41,4.88,30.71,5.13,0.08,5.09,39.73,4.46,157.97
2025-08-14 14:48:23.722371613+00:00,10,-2.1,33.2,57,76,4,0.12,0,0.09,0.22,4.88,30.91,5.12,0.09,5.09,61.43,4.64,60.01
2025-08-14 14:58:29.183553026+00:00,11,14.3,35.3,42,61,4,0.14,0,0.07,0.35,4.87,33.01,5.12,0.08,5.09,41.8,4.43,90.47
2025-08-14 15:08:37.561925003+00:00,12,-38.3,37.3,58,84,7,0.18,0,0.16,0.27,4.87,31.52,5.12,0.08,5.08,48.17,4.72,50.09
2025-08-14 15:18:45.333550061+00:00,13,-17,39.3,51,71,7,0.21,0,0.18,0.38,4.86,32.2,5.12,0.1,5.09,42.67,4.62,61.62
2025-08-14 15:28:50.998704837+00:00,14,73,41.3,249,233,5,0.16,0,0.11,0.23,4.86,31.81,5.12,0.06,5.09,42.32,4.55,48.67
2025-08-14 15:38:59.547313190+00:00,15,91.5,43.3,402,304,7,0.18,0,0.17,0.13,4.86,31.52,5.12,0.09,5.08,52.56,4.53,25.05
2025-08-14 15:49:07.970656223+00:00,16,91.7,45.4,394,298,8,0.2,0,0.2,0.16,4.85,32.97,5.12,0.1,5.09,51.68,4.34,29.49
2025-08-14 15:59:16.966681869+00:00,17,91.5,47.4,352,314,8,0.2,0,0.19,0.12,4.85,33.13,5.12,0.1,5.08,50.1,4.26,22.05
2025-08-14 16:09:25.963840575+00:00,18,87.7,49.6,389,293,7,0.2,0,0.19,0.16,4.85,31.83,5.12,0.07,5.09,50.05,4.5,28.67
2025-08-14 16:29:42.912359456+00:00,20,87.4,53.6,390,304,8,0.18,0,0.19,0.12,4.85,31.49,5.12,0.07,5.08,54.23,4.35,22.29
2025-08-14 16:39:51.791295728+00:00,21,87.9,55.7,389,342,7,0.19,0,0.18,0.1,4.85,33.07,5.12,0.05,5.09,55.99,4.31,19.33
2025-08-14 16:50:00.567232299+00:00,22,89.8,57.7,410,342,7,0.17,0,0.17,0.1,4.85,33.14,5.12,0.07,5.08,60.05,4.37,22.06
2025-08-14 17:00:03.733660143+00:00,23,65.3,59.7,400,397,2,0.12,0,0.03,0.05,4.84,34,5.12,0.08,5.09,32.9,4.21,15.29
2025-08-14 17:10:07.312716931+00:00,24,67.2,61.7,389,370,2,0.09,0,0.02,0.05,4.85,30.6,5.12,0.1,5.08,51.1,4.35,17.98
2025-08-14 17:20:10.483764835+00:00,25,57,63.7,339,404,2,0.09,0,0.02,0.04,4.85,30.93,5.12,0.08,5.08,50.86,4.33,13.86
2025-08-14 17:30:13.056132435+00:00,26,69.6,65.8,404,430,2,0.09,0,0.02,0.03,4.84,33.58,5.12,0.06,5.11,53.1,4.33,12.45
2025-08-14 17:40:17.029892395+00:00,27,53.8,67.8,387,406,3,0.1,0,0.05,0.04,4.85,30.78,5.12,0.07,5.09,74.07,4.31,12.52
2025-08-14 17:50:22.507258559+00:00,28,42.3,70,395,403,4,0.13,0,0.09,0.03,4.85,30.86,5.12,0.1,5.08,55.58,4.24,8.37
2025-08-14 18:00:28.283156411+00:00,29,37.7,72.3,414,396,5,0.15,0,0.11,0.03,4.85,31.21,5.12,0.05,5.08,49.99,4.2,8.32
2025-08-14 18:10:35.957092244+00:00,30,32.6,74.4,402,397,6,0.16,0,0.1,0.03,4.85,31.75,5.12,0.09,5.08,37.78,4.17,7.07
2025-08-14 18:20:44.834970702+00:00,31,14,76.4,180,410,8,0.2,0,0.19,0.03,4.85,32.97,5.12,0.08,5.08,51.14,4.14,5.19
2025-08-14 18:30:54.215328597+00:00,32,14.7,78.4,205,379,8,0.22,0,0.19,0.04,4.84,33.27,5.12,0.08,5.08,43.27,4.13,6.15
2025-08-14 18:41:03.196580721+00:00,33,16.4,80.5,195,425,8,0.21,0,0.2,0.03,4.85,31.57,5.12,0.11,5.09,46.92,4.09,4.97
2025-08-14 18:51:12.174632966+00:00,34,17.4,82.5,254,488,8,0.21,0,0.2,0.02,4.84,31.46,5.12,0.08,5.08,46.7,4.05,2.88
2025-08-14 19:01:21.152325381+00:00,35,20,84.5,310,585,8,0.21,0,0.21,0.01,4.84,31.42,5.12,0.1,5.08,47,3.98,1.75
