time,fcnt,curDeg,tgtDeg,LDR_E,LDR_W,wake_time_s,E_logic_mWh,Ei_motor_mWh,Ea_motor_mWh,E_solar_mWh,V_logic_V,I_logic_mA,Vi_motor_V,Ii_motor_mA,Va_motor_V,Ia_motor_mA,V_solar_V,I_solar_mA
2025-08-15 00:01:51.932603026+00:00,47,-91.5,-90,413,1022,0,0.02,0,0,0,4.84,28.15,5.11,0.15,0,0,0.19,0
2025-08-15 00:31:52.947411485+00:00,48,-91.5,-90,432,1022,0,0.02,0,0,0,4.84,30.25,5.11,0.03,0,0,0.18,0.07
2025-08-15 01:01:53.862072960+00:00,49,-91.5,-90,489,1022,0,0.02,0,0,0,4.83,31.43,5.11,0.1,0,0,0,0
2025-08-15 01:31:54.799828961+00:00,50,-91.5,-90,493,1022,0,0.02,0,0,0,4.83,29.87,5.11,0.03,0,0,0.19,0
2025-08-15 02:01:55.773344532+00:00,51,-91.5,-90,552,1022,0,0.02,0,0,0,4.84,27.95,5.11,0.05,0,0,0.18,0.1
2025-08-15 02:31:56.805293885+00:00,52,-91.5,-90,623,1022,0,0.02,0,0,0,4.83,28.75,5.11,0.05,0,0,0.19,0.2
2025-08-15 03:01:58.853160336+00:00,53,-91.5,-90,648,1022,0,0.02,0,0,0,4.83,31.68,5.11,0.08,0,0,0,0
2025-08-15 03:31:59.691597222+00:00,54,-91.5,-90,642,1022,0,0.02,0,0,0,4.83,31.11,5.11,0.18,0,0,0.19,0
2025-08-15 04:02:00.668445264+00:00,55,-91.5,-90,705,1021,0,0.02,0,0,0,4.83,29.77,5.11,0.06,0,0,0.39,0.1
2025-08-15 04:32:01.638182171+00:00,56,-91.5,-90,625,862,0,0.02,0,0,0,4.83,27.25,5.11,0.05,0,0,3.65,0.1
2025-08-15 05:02:07.296964351+00:00,57,-56.8,-85.7,445,382,5,0.12,0,0.09,0.02,4.82,31.06,5.11,0.09,5.08,59.5,4.27,6.84
2025-08-15 05:12:14.855867404+00:00,58,-41.9,-83.7,411,399,6,0.16,0,0.15,0.03,4.82,31.41,5.11,0.07,5.07,54.16,4.2,7.77
2025-08-15 05:22:22.635802869+00:00,59,-33.6,-81.7,400,392,7,0.19,0,0.17,0.04,4.82,32.64,5.11,0.08,5.07,51.08,4.18,7.09
2025-08-15 05:32:31.215089230+00:00,60,-25.7,-79.4,364,321,8,0.2,0,0.22,0.07,4.83,31.35,5.11,0.06,5.08,57.98,4.29,11.98
2025-08-15 05:42:40.399078357+00:00,61,-22.1,-77.4,350,258,8,0.2,0,0.19,0.1,4.82,31.82,5.11,0.06,5.08,46.62,4.27,17.25
2025-08-15 05:52:49.299375144+00:00,62,-19.1,-75.4,339,270,8,0.2,0,0.22,0.07,4.82,31.5,5.11,0.09,5.08,53.62,4.26,13.39
2025-08-15 06:02:58.297394429+00:00,63,-16.8,-73.4,319,204,8,0.21,0,0.19,0.18,4.82,32.9,5.11,0.07,5.07,46.07,4.49,30.01
2025-08-15 06:13:07.284224509+00:00,64,-13.8,-71.3,287,158,8,0.21,0,0.17,0.33,4.83,32.86,5.11,0.1,5.07,42.42,4.69,53.6
2025-08-15 06:23:17.294510490+00:00,65,-10.9,-69.3,344,136,8,0.21,0,0.21,0.26,4.82,32.79,5.11,0.12,5.08,50.71,4.68,41.43
2025-08-15 06:33:26.290668322+00:00,66,-7.4,-67.1,425,133,8,0.21,0,0.2,0.24,4.83,32.03,5.11,0.06,5.08,49.06,4.57,40.15
2025-08-15 06:43:35.383260906+00:00,67,-3.8,-65,444,131,8,0.21,0,0.19,0.24,4.83,31.74,5.11,0.08,5.07,45.72,4.62,39.24
2025-08-15 06:53:44.359768843+00:00,68,-2.1,-63,394,122,8,0.21,0,0.21,0.26,4.83,33.03,5.12,0.07,5.08,51.11,4.63,42.61
2025-08-15 07:03:53.372366241+00:00,69,0,-61,344,120,8,0.21,0,0.19,0.28,4.83,33.02,5.12,0.14,5.08,46.28,4.56,46.35
2025-08-15 07:14:02.371420258+00:00,70,2.8,-59,304,112,8,0.21,0,0.2,0.37,4.83,32.7,5.12,0.11,5.08,49.12,4.66,59.68
2025-08-15 07:24:11.309356180+00:00,71,3.4,-56.9,167,97,8,0.22,0,0.22,0.34,4.83,33.05,5.12,0.06,5.08,52.61,4.76,53.81
2025-08-15 07:34:19.327165681+00:00,72,6,-54.9,230,103,8,0.21,0,0.21,0.45,4.83,32.9,5.12,0.08,5.08,50.65,4.57,75.2
2025-08-15 07:44:27.604326932+00:00,73,3.8,-52.7,93,89,7,0.2,0,0.19,0.88,4.84,31.53,5.12,0.09,5.08,48.32,4.47,153.22
2025-08-15 07:54:35.786043663+00:00,74,9.1,-50.6,126,104,7,0.2,0,0.18,0.9,4.84,32.81,5.12,0.12,5.07,46.05,4.45,156.04
2025-08-15 08:04:45.104759222+00:00,75,18.1,-48.6,196,96,8,0.21,0,0.19,0.47,4.84,31.91,5.12,0.12,5.08,45.24,4.49,79.23
2025-08-15 08:14:49.112003467+00:00,76,-49.8,-46.6,31,14,3,0.14,0,0.05,0.35,4.83,33.17,5.12,0.08,5.09,29.11,4.46,89.74
2025-08-15 08:24:51.987629256+00:00,77,-42.6,-44.5,16,14,2,0.09,0,0.01,0.23,4.83,33.81,5.12,0.18,5.1,50.23,4.39,90.39
2025-08-15 08:34:54.853271689+00:00,78,-42.6,-42.5,14,10,2,0.09,0,0,0.33,4.84,33.7,5.12,0.13,0,0,4.44,142.07
2025-08-15 08:44:58.034798641+00:00,79,-38.9,-40.5,9,10,2,0.09,0,0.01,0.62,4.84,33.61,5.12,0.08,5.07,74.6,4.55,246.23
