t_ms,angle_deg,v,I_mA,power_mW
211846.0,0.0,5.11,0.2,1.02
211896.0,0.0,5.11,0.3,1.53
211946.0,0.0,5.11,0.5,2.55
211996.0,0.0,5.11,0.5,2.55
212046.0,0.0,5.11,0.5,2.55
212096.0,0.0,5.11,0.5,2.55
212146.0,0.0,5.11,0.5,2.56
212196.0,0.0,5.11,0.6,3.07
212246.0,0.0,5.11,0.5,2.56
212296.0,0.0,5.11,0.3,1.53
212346.0,0.0,5.11,0.3,1.53
212396.0,0.0,5.11,0.5,2.55
212446.0,0.0,5.11,0.2,1.02
212496.0,0.0,5.11,0.5,2.56
212546.0,0.0,5.11,0.3,1.53
212596.0,0.0,5.1,0.4,2.04
212646.0,0.0,5.11,0.3,1.53
212696.0,0.0,5.11,0.2,1.02
212746.0,0.0,5.11,0.6,3.07
212796.0,0.0,5.11,0.4,2.04
212846.0,0.0,5.11,0.4,2.04
212896.0,0.0,5.11,0.4,2.04
212946.0,0.0,5.11,0.4,2.04
212996.0,0.0,5.11,0.3,1.53
213046.0,0.0,5.11,0.4,2.04
213096.0,0.0,5.11,0.3,1.53
213146.0,0.0,5.11,0.7,3.58
213196.0,0.0,5.11,0.3,1.53
213246.0,0.0,5.11,0.2,1.02
213296.0,0.0,5.11,0.3,1.53
213346.0,0.0,5.11,0.7,3.58
213396.0,0.0,5.11,0.8,4.09
213446.0,0.0,5.11,0.3,1.53
213496.0,0.0,5.11,0.3,1.53
213546.0,0.0,5.11,0.4,2.04
213596.0,0.0,5.11,0.3,1.53
213646.0,0.0,5.11,0.4,2.04
213696.0,0.0,5.11,0.5,2.56
213746.0,0.0,5.11,0.2,1.02
213796.0,0.0,5.11,0.5,2.55
213846.0,0.0,5.11,0.6,3.06
213896.0,0.0,5.11,0.5,2.55
213946.0,0.0,5.11,0.2,1.02
213996.0,0.0,5.11,0.2,1.02
214046.0,0.0,5.11,0.4,2.04
214096.0,0.0,5.11,0.2,1.02
214146.0,0.0,5.11,0.6,3.06
214196.0,0.0,5.11,0.2,1.02
214246.0,0.0,5.1,0.5,2.55
214296.0,0.0,5.11,0.4,2.04
214346.0,0.0,5.11,0.5,2.56
214396.0,0.0,5.11,0.4,2.04
214446.0,0.0,5.11,0.5,2.55
214496.0,0.0,5.11,0.3,1.53
214546.0,0.0,5.11,0.4,2.04
214596.0,0.0,5.11,0.4,2.04
214646.0,0.0,5.11,0.3,1.53
214696.0,0.0,5.11,0.2,1.02
214746.0,0.0,5.1,0.4,2.04
214796.0,0.0,5.11,0.8,4.09
214846.0,0.0,5.11,0.5,2.55
214896.0,0.0,5.11,0.5,2.55
214946.0,0.0,5.11,0.4,2.04
214996.0,0.0,5.11,0.3,1.53
215046.0,0.0,5.11,0.6,3.06
215096.0,0.0,5.11,0.2,1.02
