t_ms,angle_deg,v,I_mA,power_mW
13389.0,0.0,5.1,0.4,2.04
13399.0,0.0,5.07,47.8,242.44
13409.0,0.4,5.05,20.8,105.08
13419.0,0.8,5.01,29.6,148.24
13429.0,1.2,5.08,45.0,228.78
13439.0,1.6,5.08,13.7,69.54
13449.0,2.1,5.02,18.4,92.44
13459.0,2.9,5.03,43.6,219.4
13469.0,3.3,5.09,35.2,179.1
13479.0,4.1,5.04,12.3,61.99
13489.0,4.5,5.02,39.0,195.94
13499.0,5.3,5.08,41.1,208.95
13509.0,5.7,5.08,11.8,59.99
13519.0,6.6,5.04,13.5,67.99
13529.0,7.0,5.08,40.5,205.58
13539.0,7.8,5.09,19.9,101.25
13549.0,8.6,5.05,11.2,56.58
13559.0,9.0,5.05,33.4,168.74
13569.0,9.9,5.08,42.6,216.41
13579.0,10.3,5.07,16.5,83.62
13589.0,11.1,5.04,26.8,135.18
13599.0,11.5,5.06,37.3,188.74
13609.0,12.3,5.1,0.3,1.53
13619.0,12.7,5.11,0.2,1.02
13629.0,13.1,5.1,0.5,2.55
13639.0,13.5,5.11,0.2,1.02
13649.0,14.0,5.1,0.3,1.53
13659.0,14.0,5.1,0.5,2.55
13669.0,14.0,5.1,0.4,2.04
13679.0,14.0,5.11,0.1,0.51
13689.0,14.0,5.1,0.3,1.53
13699.0,14.0,5.11,0.1,0.51
13709.0,14.0,5.1,0.3,1.53
13719.0,14.0,5.1,0.3,1.53
13729.0,14.0,5.1,0.2,1.02
13739.0,14.0,5.1,0.3,1.53
13749.0,14.0,5.11,0.6,3.06
13759.0,14.0,5.1,0.3,1.53
13769.0,14.0,5.1,0.4,2.04
13779.0,14.0,5.1,0.1,0.51
13789.0,14.0,5.1,0.6,3.06
13799.0,14.0,5.1,0.4,2.04
13809.0,14.0,5.1,0.4,2.04
13819.0,14.0,5.1,0.7,3.57
13829.0,14.0,5.11,0.2,1.02
13839.0,14.0,5.1,0.8,4.08
13849.0,14.0,5.1,0.2,1.02
13859.0,14.0,5.1,0.3,1.53
13869.0,14.0,5.1,0.1,0.51
13879.0,14.0,5.1,0.3,1.53
13889.0,14.0,5.1,0.0,0.0
13899.0,14.0,5.1,0.4,2.04
13909.0,14.0,5.1,0.6,3.06
13919.0,14.0,5.1,0.5,2.55
13929.0,14.0,5.1,0.4,2.04
13939.0,14.0,5.1,0.4,2.04
13949.0,14.0,5.1,0.4,2.04
13959.0,14.0,5.11,0.5,2.55
13969.0,14.0,5.1,0.4,2.04
13979.0,14.0,5.11,0.2,1.02
13989.0,14.0,5.1,0.3,1.53
13999.0,14.0,5.11,0.5,2.55
14009.0,14.0,5.1,0.4,2.04
14019.0,14.0,5.11,0.2,1.02
14029.0,14.0,5.11,0.2,1.02
14039.0,14.0,5.11,0.0,0.0
14049.0,14.0,5.1,0.3,1.53
14059.0,14.0,5.1,0.7,3.57
14069.0,14.0,5.1,0.2,1.02
14079.0,14.0,5.1,0.3,1.53
14089.0,14.0,5.1,0.3,1.53
14099.0,14.0,5.1,0.1,0.51
14109.0,14.0,5.1,0.5,2.55
14119.0,14.0,5.1,0.4,2.04
14129.0,14.0,5.1,0.5,2.55
14139.0,14.0,5.1,0.2,1.02
14149.0,14.0,5.1,0.6,3.06
14159.0,14.0,5.1,0.4,2.04
14169.0,14.0,5.1,0.4,2.04
14179.0,14.0,5.1,0.6,3.06
14189.0,14.0,5.1,0.4,2.04
14199.0,14.0,5.1,0.4,2.04
14209.0,14.0,5.1,0.3,1.53
14219.0,14.0,5.1,0.2,1.02
14229.0,14.0,5.1,0.5,2.55
14239.0,14.0,5.1,0.3,1.53
14249.0,14.0,5.1,0.1,0.51
14259.0,14.0,5.1,0.4,2.04
14269.0,14.0,5.1,0.5,2.55
14279.0,14.0,5.1,0.5,2.55
14289.0,14.0,5.1,0.4,2.04
14299.0,14.0,5.1,0.2,1.02
14309.0,14.0,5.1,0.3,1.53
14319.0,14.0,5.11,0.5,2.55
14329.0,14.0,5.1,0.5,2.55
14339.0,14.0,5.1,0.1,0.51
14349.0,14.0,5.11,0.1,0.51
14359.0,14.0,5.1,0.7,3.57
14369.0,14.0,5.1,0.4,2.04
14379.0,14.0,5.1,0.3,1.53
14389.0,14.0,5.1,0.6,3.06
14399.0,14.0,5.1,0.7,3.57
14409.0,14.0,5.1,0.2,1.02
14419.0,14.0,5.11,0.1,0.51
14429.0,14.0,5.1,0.4,2.04
14439.0,14.0,5.1,0.3,1.53
14449.0,14.0,5.11,0.4,2.04
14459.0,14.0,5.1,0.5,2.55
14469.0,14.0,5.1,0.4,2.04
14479.0,14.0,5.1,0.4,2.04
14489.0,14.0,5.1,0.4,2.04
14499.0,14.0,5.1,0.4,2.04
14509.0,14.0,5.1,0.4,2.04
14519.0,14.0,5.1,0.5,2.55
14529.0,14.0,5.11,0.6,3.06
14539.0,14.0,5.1,0.3,1.53
14549.0,14.0,5.1,0.4,2.04
14559.0,14.0,5.1,0.4,2.04
14569.0,14.0,5.1,0.1,0.51
14579.0,14.0,5.1,0.5,2.55
14589.0,14.0,5.1,0.5,2.55
14599.0,14.0,5.1,0.3,1.53
14609.0,14.0,5.1,0.5,2.55
14619.0,14.0,5.1,0.5,2.55
14629.0,14.0,5.1,0.4,2.04
14639.0,14.0,5.11,0.3,1.53
14649.0,14.0,5.1,0.2,1.02
14659.0,14.0,5.1,0.4,2.04
14669.0,14.0,5.1,0.5,2.55
