t_ms,angle_deg,v,I_mA,power_mW
16397.0,0.0,5.11,0.4,2.04
16448.0,0.0,5.12,0.5,2.56
16498.0,0.0,5.12,0.4,2.05
16549.0,0.0,5.12,0.1,0.51
16600.0,0.0,5.12,0.3,1.53
16651.0,0.0,5.12,0.6,3.07
16702.0,0.0,5.11,0.5,2.56
16753.0,0.0,5.12,0.3,1.53
16804.0,0.0,5.12,0.3,1.53
16855.0,0.0,5.12,0.3,1.53
16906.0,0.0,5.12,0.1,0.51
16957.0,0.0,5.12,0.5,2.56
17007.0,0.0,5.12,0.3,1.53
17057.0,0.0,5.12,0.1,0.51
17108.0,0.0,5.12,0.5,2.56
17159.0,0.0,5.12,0.3,1.53
17209.0,0.0,5.12,0.5,2.56
17260.0,0.0,5.12,0.1,0.51
17311.0,0.0,5.12,0.5,2.56
17362.0,0.0,5.12,0.2,1.02
17413.0,0.0,5.12,0.2,1.02
17463.0,0.0,5.12,0.4,2.05
17513.0,0.0,5.12,0.4,2.05
17563.0,0.0,5.12,0.7,3.58
17613.0,0.0,5.12,0.7,3.58
17663.0,0.0,5.12,0.4,2.05
17714.0,0.0,5.12,0.5,2.56
17765.0,0.0,5.12,0.3,1.54
17815.0,0.0,5.12,0.5,2.56
17865.0,0.0,5.12,0.6,3.07
17915.0,0.0,5.12,0.3,1.53
17966.0,0.0,5.12,0.4,2.05
18016.0,0.0,5.12,0.3,1.53
18067.0,0.0,5.12,0.0,0.0
18118.0,0.0,5.11,0.6,3.07
18168.0,0.0,5.12,0.1,0.51
18219.0,0.0,5.12,0.3,1.53
18269.0,0.0,5.12,0.2,1.02
18319.0,0.0,5.12,0.1,0.51
18370.0,0.0,5.12,0.7,3.58
18421.0,0.0,5.12,0.1,0.51
18472.0,0.0,5.12,0.5,2.56
18523.0,0.0,5.12,0.1,0.51
18573.0,0.0,5.12,0.5,2.56
18623.0,0.0,5.12,0.2,1.02
18674.0,0.0,5.12,0.5,2.56
18724.0,0.0,5.12,0.5,2.56
18775.0,0.0,5.12,0.4,2.05
18825.0,0.0,5.12,0.4,2.05
18876.0,0.0,5.12,0.4,2.05
18927.0,0.0,5.12,0.2,1.02
18977.0,0.0,5.12,0.4,2.05
19027.0,0.0,5.11,0.0,0.0
19078.0,0.0,5.12,0.5,2.56
19128.0,0.0,5.12,0.3,1.53
19179.0,0.0,5.12,0.2,1.02
19230.0,0.0,5.12,0.4,2.05
19280.0,0.0,5.12,0.3,1.54
19330.0,0.0,5.12,0.5,2.56
19381.0,0.0,5.12,0.5,2.56
