t_ms,angle_deg,v,I_mA,power_mW
16044.0,30.0,5.08,3.5,17.77
16094.0,30.0,5.08,3.5,17.77
16145.0,30.0,5.08,3.6,18.27
16195.0,30.0,5.08,4.0,20.3
16246.0,30.0,5.08,3.8,19.3
16296.0,30.0,5.08,3.6,18.27
16346.0,30.0,5.08,3.8,19.29
16396.0,30.0,5.08,3.7,18.78
16446.0,30.0,5.08,3.3,16.75
16496.0,30.0,5.08,3.7,18.78
16546.0,30.0,5.08,3.6,18.27
16596.0,30.0,5.08,3.6,18.29
16646.0,30.0,5.08,3.5,17.78
16697.0,30.0,5.08,3.5,17.77
16747.0,30.0,5.08,4.2,21.32
16798.0,30.0,5.08,3.2,16.24
16849.0,30.0,5.08,3.7,18.78
16899.0,30.0,5.07,3.6,18.26
16950.0,30.0,5.08,4.0,20.3
17001.0,30.0,5.08,4.1,20.81
17051.0,30.0,5.08,3.4,17.26
17102.0,30.0,5.08,3.5,17.77
17152.0,30.0,5.08,3.6,18.29
17202.0,30.0,5.07,3.8,19.27
17252.0,30.0,5.08,3.6,18.27
17303.0,30.0,5.08,3.6,18.29
17354.0,30.0,5.08,3.2,16.24
17404.0,30.0,5.08,3.4,17.27
17455.0,30.0,5.08,3.8,19.29
17505.0,30.0,5.08,3.5,17.77
17556.0,30.0,5.08,3.7,18.78
17606.0,30.0,5.08,3.6,18.27
17657.0,30.0,5.07,3.4,17.24
17707.0,30.0,5.08,3.6,18.27
17757.0,30.0,5.08,3.7,18.78
17808.0,30.0,5.08,3.3,16.75
17858.0,30.0,5.08,3.5,17.78
17909.0,30.0,5.08,3.7,18.78
17959.0,30.0,5.08,3.5,17.78
18010.0,30.0,5.08,3.1,15.75
18060.0,30.0,5.08,3.5,17.78
18110.0,30.0,5.08,4.0,20.3
18160.0,30.0,5.08,3.5,17.77
18211.0,30.0,5.08,3.6,18.27
18261.0,30.0,5.08,3.4,17.26
18311.0,30.0,5.08,3.6,18.29
18361.0,30.0,5.08,3.7,18.78
18412.0,30.0,5.08,3.8,19.29
18462.0,30.0,5.08,3.0,15.23
18513.0,30.0,5.07,3.8,19.27
18563.0,30.0,5.08,3.5,17.77
18614.0,30.0,5.08,3.3,16.75
18664.0,30.0,5.08,4.0,20.3
18714.0,30.0,5.08,3.7,18.78
18764.0,30.0,5.08,3.6,18.29
18814.0,30.0,5.08,3.9,19.8
18864.0,30.0,5.08,3.4,17.27
18915.0,30.0,5.08,3.5,17.77
18965.0,30.0,5.08,3.7,18.78
19015.0,30.0,5.08,3.6,18.27
19066.0,30.0,5.08,3.7,18.78
19116.0,30.0,5.08,3.8,19.29
19166.0,30.0,5.08,4.1,20.81
19216.0,30.0,5.08,3.3,16.75
19267.0,30.0,5.08,3.7,18.8
19318.0,30.0,5.08,3.2,16.24
19368.0,30.0,5.07,3.7,18.77
19419.0,30.0,5.08,3.6,18.29
19469.0,30.0,5.08,3.2,16.24
19520.0,30.0,5.08,3.4,17.26
19571.0,30.0,5.08,3.6,18.27
19621.0,30.0,5.08,3.8,19.29
19672.0,30.0,5.08,3.3,16.75
19722.0,30.0,5.08,3.5,17.77
19773.0,30.0,5.08,4.0,20.3
19823.0,30.0,5.08,3.8,19.29
19874.0,30.0,5.08,3.8,19.29
19924.0,30.0,5.08,3.4,17.27
