t_ms,angle_deg,v,I_mA,power_mW
8683.0,0.0,5.11,0.5,2.55
8733.0,0.0,5.11,0.3,1.53
8783.0,0.0,5.11,0.0,0.0
8833.0,0.0,5.12,0.3,1.53
8883.0,0.0,5.11,0.4,2.04
8933.0,0.0,5.12,0.3,1.53
8983.0,0.0,5.11,0.5,2.56
9033.0,0.0,5.11,0.2,1.02
9083.0,0.0,5.11,0.3,1.53
9133.0,0.0,5.12,0.3,1.53
9183.0,0.0,5.11,0.3,1.53
9233.0,0.0,5.12,0.2,1.02
9283.0,0.0,5.11,0.1,0.51
9333.0,0.0,5.11,0.4,2.04
9383.0,0.0,5.11,0.4,2.04
9433.0,0.0,5.11,0.4,2.04
9483.0,0.0,5.11,0.3,1.53
9533.0,0.0,5.11,0.3,1.53
9583.0,0.0,5.11,0.4,2.04
9633.0,0.0,5.11,0.4,2.04
9683.0,0.0,5.12,0.2,1.02
9733.0,0.0,5.11,0.2,1.02
9783.0,0.0,5.11,0.3,1.53
9833.0,0.0,5.11,0.2,1.02
9883.0,0.0,5.12,0.6,3.07
9933.0,0.0,5.11,0.1,0.51
9983.0,0.0,5.11,0.3,1.53
10033.0,0.0,5.12,0.3,1.53
10083.0,0.0,5.11,0.3,1.53
10133.0,0.0,5.11,0.4,2.04
10183.0,0.0,5.11,0.6,3.07
10233.0,0.0,5.12,0.6,3.07
10283.0,0.0,5.12,0.5,2.56
10333.0,0.0,5.11,0.1,0.51
10383.0,0.0,5.11,0.4,2.04
10433.0,0.0,5.11,0.4,2.04
10483.0,0.0,5.12,0.3,1.53
10533.0,0.0,5.12,0.3,1.53
10583.0,0.0,5.12,0.3,1.53
10633.0,0.0,5.11,0.1,0.51
10683.0,0.0,5.11,0.3,1.53
10733.0,0.0,5.11,0.4,2.04
10783.0,0.0,5.11,0.3,1.53
10833.0,0.0,5.12,0.4,2.05
10883.0,0.0,5.11,0.4,2.04
10933.0,0.0,5.11,0.5,2.55
10983.0,0.0,5.11,0.1,0.51
11033.0,0.0,5.11,0.3,1.53
11083.0,0.0,5.12,0.4,2.05
11133.0,0.0,5.11,0.6,3.07
11183.0,0.0,5.11,0.2,1.02
11233.0,0.0,5.11,0.5,2.56
11283.0,0.0,5.11,0.4,2.04
11333.0,0.0,5.12,0.2,1.02
11383.0,0.0,5.11,0.2,1.02
11433.0,0.0,5.11,0.3,1.53
11483.0,0.0,5.11,0.2,1.02
11533.0,0.0,5.11,0.3,1.53
11583.0,0.0,5.11,0.4,2.04
11633.0,0.0,5.11,0.2,1.02
11683.0,0.0,5.12,0.3,1.53
11733.0,0.0,5.11,0.3,1.53
11783.0,0.0,5.11,0.4,2.04
11833.0,0.0,5.12,0.4,2.05
11883.0,0.0,5.11,0.3,1.53
11933.0,0.0,5.11,0.3,1.53
11983.0,0.0,5.11,0.3,1.53
12033.0,0.0,5.11,0.2,1.02
