time,fcnt,LDR_east,LDR_west,wake_duration_s,solar_energy_mWh,solar_voltage_V,solar_current_mA,logic_energy_mWh,logic_voltage_V,logic_current_mA
2025-08-14 16:29:01.873849774+00:00,20,1023,59,3,0.16,4.16,47.89,0.09,4.92,22.85
2025-08-14 16:39:05.746086360+00:00,21,1023,67,3,0.13,4.15,39.76,0.09,4.92,22.55
2025-08-14 16:49:09.817839592+00:00,22,1023,68,3,0.14,4.14,40.7,0.09,4.92,22.87
2025-08-14 17:09:18.728957008+00:00,24,1023,70,3,0.12,4.13,35.22,0.09,4.92,22.75
2025-08-14 17:19:22.697647675+00:00,25,1023,75,3,0.08,4.1,25.62,0.09,4.92,23.16
2025-08-14 17:29:26.682138055+00:00,26,1023,79,3,0.08,4.1,25.65,0.09,4.92,23.26
2025-08-14 17:39:30.683287094+00:00,27,1023,83,3,0.07,4.09,22.82,0.09,4.92,23.54
2025-08-14 17:49:34.657620880+00:00,28,1023,95,3,0.04,4.06,14.57,0.09,4.92,23.26
2025-08-14 17:59:39.655634499+00:00,29,1023,110,3,0.04,4.05,12.64,0.09,4.92,22.57
2025-08-14 18:09:43.650592471+00:00,30,1023,116,3,0.03,4.05,10.63,0.09,4.92,23.01
2025-08-14 18:29:52.615721304+00:00,32,1023,124,3,0.03,4.03,9.08,0.09,4.92,23.16
2025-08-14 18:39:57.593554123+00:00,33,1023,137,3,0.02,3.97,7.37,0.09,4.92,23.18
2025-08-14 18:50:01.587507345+00:00,34,1023,156,3,0.01,3.95,4.88,0.09,4.92,23.14
2025-08-14 19:00:05.675815663+00:00,35,1023,177,3,0.01,3.93,3.52,0.09,4.92,23.12
2025-08-14 19:10:16.559048895+00:00,36,1023,221,3,0.0,3.89,1.83,0.09,4.92,22.51
2025-08-14 19:20:13.624414911+00:00,37,1023,292,3,0.0,3.17,1.0,0.09,4.91,22.47
2025-08-14 19:30:18.530147617+00:00,38,1023,414,3,0.0,2.85,0.09,0.09,4.92,22.66
2025-08-14 19:40:22.521118542+00:00,39,1023,599,3,0.0,2.72,0.1,0.09,4.92,23.07
2025-08-14 19:50:26.550232033+00:00,40,1023,784,3,0.0,0.0,0.0,0.09,4.91,23.18
2025-08-14 20:00:30.525384826+00:00,41,1023,891,3,0.0,0.0,0.0,0.09,4.91,23.09
2025-08-14 20:30:35.491571819+00:00,42,1023,966,3,0.0,0.0,0.0,0.09,4.91,22.54
2025-08-14 21:30:43.380798169+00:00,44,1023,974,3,0.0,0.0,0.0,0.09,4.91,22.96
2025-08-14 22:00:48.340732361+00:00,45,1023,984,3,0.0,0.25,0.0,0.09,4.91,22.87
2025-08-14 22:30:52.314862442+00:00,46,1023,987,3,0.0,0.0,0.0,0.09,4.91,22.76
2025-08-14 23:00:57.272519539+00:00,47,1023,990,3,0.0,0.0,0.0,0.09,4.91,22.57
2025-08-14 23:31:01.237768013+00:00,48,1023,991,3,0.0,0.23,0.0,0.09,4.91,22.69
2025-08-15 00:01:05.197191271+00:00,49,1023,992,3,0.0,0.0,0.0,0.09,4.91,22.74
2025-08-15 00:31:09.168575186+00:00,50,1023,996,3,0.0,0.0,0.0,0.09,4.91,22.79
2025-08-15 01:01:13.125610929+00:00,51,1023,994,3,0.0,0.0,0.0,0.09,4.91,22.7
2025-08-15 01:31:17.130669331+00:00,52,1023,996,3,0.0,0.0,0.0,0.09,4.9,22.44
2025-08-15 02:01:21.055487415+00:00,53,1023,996,3,0.0,0.0,0.0,0.09,4.9,22.51
2025-08-15 02:31:25.055748482+00:00,54,1023,999,3,0.0,0.2,0.0,0.09,4.9,23.0
2025-08-15 03:01:29.983878729+00:00,55,1023,997,3,0.0,0.0,0.0,0.09,4.9,23.18
2025-08-15 04:01:37.929300185+00:00,57,1023,975,3,0.0,0.3,0.0,0.09,4.9,22.14
2025-08-15 04:31:42.883682865+00:00,58,1023,610,3,0.0,3.23,0.04,0.09,4.9,22.04
2025-08-15 04:41:46.869032683+00:00,59,1023,430,3,0.0,3.51,0.28,0.09,4.9,23.1
2025-08-15 04:51:51.852898947+00:00,60,1023,311,3,0.0,3.61,1.23,0.09,4.9,22.72
2025-08-15 05:01:55.878366267+00:00,61,1023,225,3,0.01,4.09,2.96,0.09,4.9,23.16
2025-08-15 05:11:59.853086177+00:00,62,1023,208,3,0.01,4.06,3.04,0.09,4.9,22.41
2025-08-15 05:22:04.841856493+00:00,63,1023,190,3,0.01,4.06,3.2,0.09,4.9,22.68
2025-08-15 05:32:08.806107140+00:00,64,1023,150,3,0.01,4.07,5.26,0.09,4.9,23.18
2025-08-15 05:42:12.794438869+00:00,65,1023,128,3,0.03,4.08,10.13,0.09,4.9,23.5
2025-08-15 05:52:16.782703354+00:00,66,1023,128,3,0.02,4.08,8.65,0.09,4.9,22.74
2025-08-15 06:02:20.778501110+00:00,67,1023,82,3,0.04,4.09,13.38,0.09,4.9,22.57
2025-08-15 06:12:24.801305790+00:00,68,1023,66,3,0.08,4.13,24.16,0.09,4.9,22.85
2025-08-15 06:22:29.790095438+00:00,69,1023,71,3,0.1,4.15,29.18,0.09,4.9,23.23
2025-08-15 06:32:33.763504106+00:00,70,1023,47,3,0.09,4.15,28.71,0.09,4.9,22.66
2025-08-15 06:42:37.725943366+00:00,71,1023,70,3,0.13,4.19,37.74,0.09,4.9,22.74
