time,Ppv_mW,Psys_mW,Vpv_V,Vsys_V,Ipv_mA,Isys_mA,idx
2025-06-23 14:49:56.061924975+00:00,14.25,104.37,4.31,5.11,3.3,20.41,0
2025-06-23 14:50:56.060464990+00:00,69.3,108.17,4.37,5.11,15.72,21.16,1
2025-06-23 14:52:39.514242145+00:00,174.57,107.94,4.46,5.11,39.1,21.12,2
2025-06-23 14:53:20.543459577+00:00,168.73,107.61,4.46,5.11,37.85,21.05,3
2025-06-23 14:53:54.431551642+00:00,53.22,106.92,4.35,5.11,12.03,20.91,4
2025-06-23 14:54:54.412845529+00:00,11.82,104.45,4.31,5.11,2.74,20.42,5
2025-06-23 14:55:54.407994702+00:00,13.69,104.52,4.31,5.11,3.17,20.44,6
2025-06-23 14:56:54.455719858+00:00,36.89,104.46,4.33,5.11,8.46,20.43,7
2025-06-23 14:57:54.386431639+00:00,147.54,104.39,4.44,5.11,33.22,20.41,8
2025-06-23 14:58:54.393609381+00:00,156.5,104.43,4.45,5.11,35.19,20.42,9
2025-06-23 14:59:54.377577075+00:00,156.08,104.24,4.45,5.11,35.11,20.39,10
2025-06-23 15:00:54.370406565+00:00,88.46,104.45,4.38,5.11,19.99,20.43,11
2025-06-23 15:01:54.365624708+00:00,14.65,104.22,4.31,5.11,3.39,20.38,12
2025-06-23 15:02:54.476200763+00:00,46.21,104.2,4.34,5.11,10.56,20.38,13
2025-06-23 15:03:54.350991380+00:00,74.23,104.14,4.37,5.11,16.83,20.37,14
2025-06-23 15:04:54.343306391+00:00,146.28,104.31,4.43,5.11,32.99,20.4,15
2025-06-23 15:05:54.451674183+00:00,144.69,104.41,4.43,5.11,32.65,20.42,16
2025-06-23 15:06:54.331443255+00:00,100.63,104.17,4.39,5.11,22.75,20.37,17
2025-06-23 15:07:54.368073085+00:00,12.96,104.41,4.31,5.11,3.0,20.42,18
2025-06-23 15:08:54.313103766+00:00,13.76,104.61,4.31,5.11,3.19,20.46,19
2025-06-23 15:09:54.317816595+00:00,13.45,104.39,4.31,5.11,3.11,20.42,20
2025-06-23 15:10:54.290739104+00:00,85.21,104.19,4.38,5.11,19.3,20.37,21
2025-06-23 15:11:54.293184063+00:00,24.4,104.28,4.32,5.11,5.64,20.39,22
2025-06-23 15:12:54.281216900+00:00,55.39,104.18,4.35,5.11,12.61,20.37,23
2025-06-23 15:13:54.312186838+00:00,25.5,104.26,4.32,5.11,5.87,20.39,24
2025-06-23 15:14:54.263636223+00:00,27.87,104.31,4.33,5.11,6.43,20.4,25
2025-06-23 15:15:54.327462563+00:00,98.49,104.3,4.39,5.11,22.33,20.4,26
2025-06-23 15:16:54.397754014+00:00,131.26,104.31,4.42,5.11,29.68,20.4,27
2025-06-23 15:17:54.244554884+00:00,82.37,104.33,4.38,5.11,18.67,20.4,28
2025-06-23 15:18:54.229891494+00:00,15.86,104.42,4.31,5.11,3.67,20.42,29
2025-06-23 15:19:54.221569458+00:00,100.78,104.25,4.39,5.11,22.84,20.39,30
2025-06-23 15:20:54.308540820+00:00,127.74,104.22,4.42,5.11,28.9,20.38,31
2025-06-23 15:21:54.214086800+00:00,98.74,104.22,4.39,5.11,22.42,20.38,32
2025-06-23 15:22:54.203362019+00:00,33.41,104.27,4.33,5.11,7.69,20.39,33
2025-06-23 15:23:54.277660641+00:00,95.85,104.1,4.39,5.11,21.8,20.36,34
2025-06-23 15:24:54.191085091+00:00,107.6,104.64,4.4,5.11,24.44,20.46,35
2025-06-23 15:25:54.182263014+00:00,115.64,104.14,4.41,5.11,26.23,20.37,36
2025-06-23 15:26:54.251288309+00:00,105.03,104.29,4.4,5.11,23.87,20.4,37
2025-06-23 15:27:54.159322923+00:00,106.4,104.59,4.4,5.11,24.18,20.46,38
2025-06-23 15:28:54.266455307+00:00,53.6,104.19,4.35,5.11,12.28,20.37,39
2025-06-23 15:29:54.221953953+00:00,70.93,104.38,4.37,5.11,16.2,20.41,40
2025-06-23 15:30:54.176600967+00:00,57.38,104.22,4.35,5.11,13.13,20.38,41
2025-06-23 15:31:54.136830141+00:00,73.45,104.71,4.37,5.11,16.75,20.48,42
2025-06-23 15:32:54.193665286+00:00,103.73,104.21,4.4,5.11,23.59,20.38,43
2025-06-23 15:33:54.148521909+00:00,100.49,104.09,4.39,5.11,22.87,20.35,44
2025-06-23 15:34:54.205694199+00:00,111.51,104.13,4.4,5.11,25.28,20.36,45
2025-06-23 15:35:54.180305577+00:00,167.39,104.58,4.45,5.11,37.58,20.45,46
