time,device,P_mW,V_V,I_mA,idx
2025-06-21T16:21:12.623439604Z,fixed,7.3,4.27,1.7,0
2025-06-21T16:22:12.013623441Z,fixed,7.2,4.27,1.7,1
2025-06-21T16:23:23.406023730Z,fixed,7.2,4.27,1.7,2
2025-06-21T16:24:11.388808451Z,fixed,7.3,4.27,1.7,3
2025-06-21T16:25:11.392281290Z,fixed,7.4,4.27,1.7,4
2025-06-21T16:26:11.365049118Z,fixed,7.9,4.27,1.9,5
2025-06-21T16:27:11.302098444Z,fixed,9.0,4.27,2.1,6
2025-06-21T16:28:11.272334987Z,fixed,10.1,4.27,2.4,7
2025-06-21T16:29:11.264945662Z,fixed,10.8,4.27,2.5,8
2025-06-21T16:30:11.232900440Z,fixed,12.0,4.27,2.8,9
2025-06-21T16:31:11.191008428Z,fixed,13.8,4.27,3.2,10
2025-06-21T16:32:11.097805497Z,fixed,18.1,4.27,4.2,11
2025-06-21T16:33:11.074091643Z,fixed,12.0,4.27,2.8,12
2025-06-21T16:34:11.045116961Z,fixed,11.8,4.27,2.8,13
2025-06-21T16:35:11.011424005Z,fixed,13.2,4.27,3.1,14
2025-06-21T16:36:10.974400784Z,fixed,18.3,4.27,4.3,15
2025-06-21T16:37:10.939491571Z,fixed,18.7,4.27,4.4,16
2025-06-21T16:38:10.915682562Z,fixed,18.5,4.27,4.3,17
2025-06-21T16:39:10.884476044Z,fixed,18.2,4.27,4.3,18
2025-06-21T16:40:10.836843563Z,fixed,17.8,4.27,4.2,19
2025-06-21T16:41:10.811460029Z,fixed,17.5,4.27,4.1,20
