time,fcnt,Ipv_mA,Isys_mA,Vpv_V,Vsys_V,PV_mWh,SYS_mWh
2025-07-01 22:17:12.342775304+00:00,85,-0.38,22.85,0.54,4.85,0.0,9.226
2025-07-01 22:22:12.290287466+00:00,86,-0.36,22.9,0.54,4.85,0.0,9.246
2025-07-01 22:27:12.251750424+00:00,87,-0.38,22.86,0.54,4.85,0.0,9.235
2025-07-01 22:32:12.218024269+00:00,88,-0.37,22.82,0.54,4.85,0.0,9.217
2025-07-01 22:37:12.178440894+00:00,89,-0.38,22.88,0.54,4.85,0.0,9.242
2025-07-01 22:42:12.146294213+00:00,90,-0.36,22.79,0.54,4.85,0.0,9.207
2025-07-01 22:47:12.134871285+00:00,91,-0.38,22.87,0.54,4.85,0.0,9.237
2025-07-01 22:52:12.094752774+00:00,92,-0.39,22.83,0.54,4.85,0.0,9.216
2025-07-01 22:57:12.068373258+00:00,93,-0.38,22.86,0.54,4.85,0.0,9.227
2025-07-01 23:02:12.000126848+00:00,94,-0.39,22.88,0.54,4.84,0.0,9.234
2025-07-01 23:07:11.976016573+00:00,95,-0.38,22.85,0.54,4.84,0.0,9.222
2025-07-01 23:12:11.939702549+00:00,96,-0.37,22.87,0.55,4.84,0.0,9.229
2025-07-01 23:17:11.895740457+00:00,97,-0.37,22.82,0.55,4.84,0.0,9.209
2025-07-01 23:22:11.444766556+00:00,98,-0.37,22.89,0.55,4.84,0.0,9.238
2025-07-01 23:27:11.443154147+00:00,99,-0.4,22.77,0.54,4.84,0.0,9.188
2025-07-01 23:32:11.372789648+00:00,100,-0.4,22.83,0.55,4.84,0.0,9.211
2025-07-01 23:37:11.338380400+00:00,101,-0.37,22.78,0.54,4.84,0.0,9.194
2025-07-01 23:42:11.307755730+00:00,102,-0.37,22.82,0.54,4.84,0.0,9.209
2025-07-01 23:47:11.269962757+00:00,103,-0.36,22.79,0.54,4.84,0.0,9.198
2025-07-01 23:52:11.228713127+00:00,104,-0.36,22.78,0.54,4.84,0.0,9.194
2025-07-01 23:57:11.200977951+00:00,105,-0.38,22.82,0.54,4.84,0.0,9.209
2025-07-02 00:02:11.189870569+00:00,106,-0.38,22.78,0.54,4.84,0.0,9.195
2025-07-02 00:07:11.132099041+00:00,107,-0.38,22.84,0.54,4.84,0.0,9.217
2025-07-02 00:12:11.096725791+00:00,108,-0.37,22.76,0.54,4.84,0.0,9.186
2025-07-02 00:17:11.053438943+00:00,109,-0.36,22.88,0.54,4.85,0.0,9.236
