time,fcnt,Ipv_mA,Isys_mA,Vpv_V,Vsys_V,PV_mWh,SYS_mWh
2025-07-03 14:48:31.985090998+00:00,0,1.36,20.41,6.3,4.88,0.715,8.296
2025-07-03 14:53:31.973119323+00:00,1,1.38,20.62,6.22,4.88,0.715,8.379
2025-07-03 14:58:31.910429582+00:00,2,1.42,20.63,5.98,4.88,0.707,8.385
2025-07-03 15:03:31.944987497+00:00,3,1.4,20.77,6.1,4.88,0.699,8.441
2025-07-03 15:08:31.919685877+00:00,4,1.49,20.81,6.16,4.88,0.749,8.457
2025-07-03 15:13:31.905286335+00:00,5,1.45,20.8,6.12,4.88,0.729,8.449
2025-07-03 15:18:31.776127712+00:00,6,1.31,20.85,6.09,4.87,0.666,8.47
2025-07-03 15:23:31.742132656+00:00,7,1.35,20.82,6.12,4.87,0.68,8.454
2025-07-03 15:28:31.028663201+00:00,8,1.46,20.62,6.12,4.87,0.723,8.37
2025-07-03 15:33:31.044133030+00:00,9,1.38,20.37,6.22,4.87,0.715,8.266
2025-07-03 15:38:31.028270544+00:00,10,1.4,20.34,6.15,4.87,0.705,8.251
2025-07-03 15:43:30.925964975+00:00,11,1.37,20.31,6.16,4.87,0.693,8.235
2025-07-03 15:48:30.906402921+00:00,12,1.38,21.66,6.16,4.86,0.701,8.775
2025-07-03 15:53:30.844609668+00:00,13,1.63,22.75,6.18,4.86,0.824,9.208
2025-07-03 15:58:30.801069554+00:00,14,1.4,22.67,6.18,4.86,0.709,9.178
2025-07-03 16:03:30.345053438+00:00,15,1.4,22.73,6.2,4.86,0.722,9.201
2025-07-03 16:08:30.312204097+00:00,16,1.41,22.66,6.21,4.86,0.713,9.174
2025-07-03 16:13:30.267963154+00:00,17,1.31,22.72,6.17,4.86,0.672,9.192
2025-07-03 16:18:30.240543985+00:00,18,1.55,22.62,6.15,4.86,0.76,9.152
2025-07-03 16:23:30.197643693+00:00,19,1.4,22.75,6.15,4.85,0.715,9.204
2025-07-03 16:28:39.164173592+00:00,20,1.43,22.76,6.14,4.85,0.716,9.205
2025-07-03 16:33:30.120689636+00:00,21,1.37,22.66,6.16,4.85,0.695,9.165
2025-07-03 16:38:30.084129417+00:00,22,1.44,22.66,6.16,4.85,0.724,9.165
2025-07-03 16:43:30.125178373+00:00,23,1.32,22.95,6.11,4.85,0.667,9.281
