time,fcnt,Im_solar,Im_logic,Vm_solar,Vm_logic,solar_mWh,logic_mWh
2025-07-29 07:02:34.839273459+00:00,233,10.02,22.54,4.33,4.84,3.62,9.089
2025-07-29 07:07:34.824653174+00:00,234,12.67,22.71,4.34,4.84,4.586,9.159
2025-07-29 07:12:34.799064040+00:00,235,15.14,22.51,4.35,4.84,5.493,9.079
2025-07-29 07:17:34.725918175+00:00,236,14.82,22.59,4.35,4.84,5.375,9.112
2025-07-29 07:22:34.718298695+00:00,237,11.08,22.6,4.34,4.84,4.006,9.119
2025-07-29 07:27:34.662582108+00:00,238,7.95,22.48,4.33,4.84,2.866,9.068
2025-07-29 07:32:34.659875527+00:00,239,8.32,22.67,4.33,4.84,2.999,9.146
2025-07-29 07:37:34.583016569+00:00,240,11.46,22.61,4.34,4.84,4.147,9.122
2025-07-29 07:42:34.506449478+00:00,241,13.91,22.64,4.35,4.84,5.042,9.134
2025-07-29 07:47:34.511897160+00:00,242,15.45,22.51,4.36,4.84,5.607,9.082
2025-07-29 07:52:34.571226253+00:00,243,16.8,22.53,4.36,4.84,6.106,9.089
2025-07-29 07:57:34.448232688+00:00,244,17.78,22.44,4.36,4.84,6.468,9.054
2025-07-29 08:02:34.497379882+00:00,245,22.62,22.56,4.38,4.84,8.267,9.104
2025-07-29 08:07:34.347854681+00:00,246,32.73,22.55,4.43,4.84,12.071,9.095
2025-07-29 08:12:34.672195281+00:00,247,32.12,22.78,4.42,4.84,11.84,9.173
2025-07-29 08:17:34.594757209+00:00,248,25.42,22.71,4.4,4.83,9.315,9.147
2025-07-29 08:24:35.950969018+00:00,249,27.05,23.65,4.4,4.83,9.924,9.506
2025-07-29 08:34:29.178991187+00:00,250,35.53,23.29,4.44,4.83,13.14,9.365
2025-07-29 08:37:34.483173809+00:00,251,37.81,23.01,4.45,4.83,14.012,9.261
2025-07-29 08:42:34.426344321+00:00,252,38.52,22.59,4.45,4.83,14.287,9.092
2025-07-29 08:47:34.381435246+00:00,253,38.37,22.63,4.45,4.82,14.231,9.089
2025-07-29 08:54:35.716444320+00:00,254,31.47,23.47,4.42,4.82,11.597,9.416
2025-07-29 08:57:34.124701501+00:00,255,41.72,22.74,4.46,4.82,15.531,9.139
2025-07-29 09:02:33.987211285+00:00,256,43.78,22.88,4.48,4.82,16.339,9.194
2025-07-29 09:07:33.934985197+00:00,257,39.99,22.58,4.46,4.82,14.876,9.073
