time,fcnt,curDeg,tgtDeg,altDeg,motor_mWh,logic_mWh,solar_mWh,motor_s,ldrEast,ldrWest
2025-07-01 22:21:34.986026034+00:00,105,-71.8,72,-14.6,0.058,13.248,0,0,1019,1019
2025-07-01 22:26:35.030137604+00:00,106,-71.8,72,-14.8,0.056,13.503,0,0,1019,1018
2025-07-01 22:31:35.011316296+00:00,107,-71.8,72,-14.9,0.058,13.477,0,0,1018,1019
2025-07-01 22:36:34.879748136+00:00,108,-71.8,72,-15,0.06,13.509,0,0,1019,1020
2025-07-01 22:41:34.843605753+00:00,109,-71.8,72,-15.1,0.058,13.491,0,0,1019,1019
2025-07-01 22:46:34.874533106+00:00,110,-71.8,72,-15.1,0.058,13.511,0,0,1018,1018
2025-07-01 22:51:34.770439928+00:00,111,-71.8,72,-15.2,0.058,13.248,0,0,1019,1019
2025-07-01 22:56:34.732152067+00:00,112,-71.8,72,-15.2,0.057,13.506,0,0,1017,1019
2025-07-01 23:06:34.656752229+00:00,114,-71.8,-72,-15.2,0.056,13.514,0,0,1019,1019
2025-07-01 23:31:34.635000367+00:00,119,-71.8,-72,-15,0.057,13.435,0,0,1019,1019
2025-07-01 23:36:34.433507504+00:00,120,-71.8,-72,-14.9,0.054,13.495,0,0,1019,1018
2025-07-01 23:41:34.401001421+00:00,121,-71.8,-72,-14.8,0.058,13.485,0,0,1018,1018
2025-07-01 23:46:41.362513004+00:00,122,-71.8,-72,-14.7,0.061,13.502,0,0,1012,1022
2025-07-01 23:56:34.292390531+00:00,124,-71.8,-72,-14.4,0.056,13.506,0,0,1018,1018
2025-07-02 00:01:34.245317139+00:00,125,-71.8,-72,-14.2,0.059,13.472,0,0,1018,1019
2025-07-02 00:06:41.227923695+00:00,126,-71.8,-72,-14,0.06,13.499,0,0,1019,1019
2025-07-02 00:11:34.178638242+00:00,127,-71.8,-72,-13.8,0.058,13.498,0,0,1019,1019
2025-07-02 00:16:34.144748101+00:00,128,-71.8,-72,-13.6,0.055,13.52,0,0,1018,1019
2025-07-02 00:21:48.120766516+00:00,129,-71.8,-72,-13.4,0.057,13.263,0,0,1019,1019
