time,fcnt,curDeg,tgtDeg,altDeg,motor_mWh,logic_mWh,solar_mWh,motor_s,ldrEast,ldrWest
2025-07-03 12:09:37.973333223+00:00,1,-48.4,-44.6,55.4,0.044,0.002,0.026,0.0,363,416
2025-07-03 12:14:37.795702558+00:00,2,-41.9,-42.8,55.9,0.053,0.0,0.02,0.1,349,411
2025-07-03 12:19:37.653371341+00:00,3,-41.9,-41.0,56.4,0.049,0.0,0.012,0.0,344,409
2025-07-03 12:29:37.518755762+00:00,5,-41.9,-37.2,57.4,0.049,0.0,0.023,0.0,350,430
2025-07-03 13:52:44.438476828+00:00,0,50.1,50.9,53.3,0.108,0.0,0.015,1.3,293,465
2025-07-03 13:57:42.500536508+00:00,1,50.1,52.5,52.7,0.04,0.0,0.016,0.0,277,441
2025-07-03 14:02:42.383948268+00:00,2,50.1,54.1,52.1,0.037,0.0,0.021,0.0,274,448
2025-07-03 14:18:04.339722579+00:00,0,59.1,60.1,49.5,0.109,11.413,0.018,1.9,266,462
2025-07-03 14:47:13.560499702+00:00,0,58.7,60.1,49.5,0.186,10.753,0.074,1.8,36,84
2025-07-03 14:52:13.492987159+00:00,1,58.7,61.5,48.8,0.012,11.466,0.077,0.0,35,72
2025-07-03 14:57:13.479753617+00:00,2,58.7,62.9,48.1,0.01,11.491,0.103,0.0,62,133
2025-07-03 15:02:13.441558971+00:00,3,64.0,64.2,47.4,0.024,12.135,0.106,0.1,59,141
2025-07-03 15:07:13.386782243+00:00,4,64.0,65.5,46.7,0.015,13.194,0.107,0.0,51,128
2025-07-03 15:12:13.347716873+00:00,5,64.0,66.9,46.0,0.015,13.196,0.126,0.0,59,140
2025-07-03 15:17:11.976581989+00:00,6,64.0,68.1,45.3,0.014,13.182,0.093,0.0,59,139
2025-07-03 15:22:11.935237973+00:00,7,69.8,69.4,44.5,0.03,13.127,0.106,0.1,61,142
2025-07-03 15:27:11.899766303+00:00,8,69.8,70.6,43.8,0.014,13.088,0.111,0.0,59,141
2025-07-03 15:32:11.880440259+00:00,9,69.8,71.8,43.1,0.012,13.122,0.103,0.0,58,140
2025-07-03 15:37:11.838321509+00:00,10,69.8,72.0,42.3,0.013,13.102,0.103,0.0,65,146
2025-07-03 15:42:11.800546421+00:00,11,69.8,72.0,41.6,0.008,13.079,0.111,0.0,63,145
2025-07-03 15:47:11.794251014+00:00,12,69.8,72.0,40.8,0.009,13.796,0.115,0.0,61,141
2025-07-03 15:52:11.721540542+00:00,13,69.8,72.0,40.1,0.013,14.021,0.113,0.0,47,123
2025-07-03 15:57:11.693350412+00:00,14,69.8,72.0,39.3,0.013,14.049,0.131,0.0,57,131
2025-07-03 16:02:11.654359145+00:00,15,69.8,72.0,38.6,0.014,14.01,0.094,0.0,56,136
2025-07-03 16:07:11.658115086+00:00,16,69.8,72.0,37.8,0.013,14.045,0.124,0.0,50,127
2025-07-03 16:12:11.613369052+00:00,17,69.8,72.0,37.0,0.014,14.02,0.111,0.0,64,139
2025-07-03 16:17:11.544481582+00:00,18,69.8,72.0,36.3,0.013,14.053,0.096,0.0,54,130
2025-07-03 16:22:11.509427497+00:00,19,69.8,72.0,35.5,0.015,14.0,0.107,0.0,62,141
2025-07-03 16:27:11.513064132+00:00,20,69.8,72.0,34.7,0.012,13.989,0.093,0.0,56,136
2025-07-03 16:32:11.441172042+00:00,21,69.8,72.0,33.9,0.012,14.036,0.103,0.0,58,135
2025-07-03 16:37:11.405611100+00:00,22,69.8,72.0,33.2,0.012,13.95,0.108,0.0,68,147
2025-07-03 16:42:11.368618144+00:00,23,69.8,72.0,32.4,0.012,14.018,0.108,0.0,61,148
2025-07-03 16:47:11.333203603+00:00,24,69.8,72.0,31.6,0.011,14.051,0.114,0.0,56,142
2025-07-03 16:52:11.293571272+00:00,25,69.8,72.0,30.8,0.011,14.148,0.117,0.0,40,134
2025-07-03 16:57:11.024429614+00:00,26,69.8,72.0,30.1,0.013,14.073,0.108,0.0,69,157
2025-07-03 17:02:10.969008062+00:00,27,69.8,72.0,29.3,0.01,14.082,0.11,0.0,57,159
