time,fcnt,angle_current_deg,angle_target_deg,ldr_east_raw,ldr_west_raw,wake_time_s,energy_logic_mWh,energy_motor_idle_mWh,energy_motor_run_mWh,energy_solar_mWh,V_logic_V,I_logic_mA,V_motor_idle_V,I_motor_idle_mA,V_motor_run_V,I_motor_run_mA,V_solar_V,I_solar_mA
2025-08-14 00:29:39.302443117+00:00,10,-89.8,-90.0,968,968,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.07,0.0,0.0,0.17,0.15
2025-08-14 00:59:40.355509038+00:00,11,-89.8,-90.0,969,969,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.1,0.0,0.0,0.17,0.0
2025-08-14 01:29:41.334387137+00:00,12,-89.8,-90.0,968,969,0,0.0,0,0.0,0.0,1.2,0.0,5.12,0.07,0.0,0.0,0.16,0.2
2025-08-14 01:59:42.434133249+00:00,13,-89.8,-90.0,970,969,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.14,0.0,0.0,0.17,0.07
2025-08-14 02:29:43.267103671+00:00,14,-89.8,-90.0,969,970,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.15,0.0,0.0,0.17,0.13
2025-08-14 02:59:44.164750434+00:00,15,-89.8,-90.0,969,969,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.3,0.0,0.0,0.17,0.0
2025-08-14 03:29:45.238544268+00:00,16,-89.8,-90.0,970,969,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.13,0.0,0.0,0.17,0.0
2025-08-14 03:59:46.155103280+00:00,17,-89.8,-90.0,969,969,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.15,0.0,0.0,0.17,0.05
2025-08-14 04:29:47.173702547+00:00,18,-89.8,-90.0,970,970,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.08,0.0,0.0,0.19,0.0
2025-08-14 04:59:48.094962816+00:00,19,-89.8,-90.0,943,951,0,0.0,0,0.0,0.0,0.0,0.0,5.12,0.13,0.0,0.0,0.0,0.0
2025-08-14 05:29:55.928420003+00:00,20,-89.8,-79.7,776,835,7,0.0,0,0.14,0.0,1.19,0.03,5.12,0.14,5.02,69.38,1.96,0.05
2025-08-14 05:36:11.978512191+00:00,22,-89.8,-78.5,636,726,7,0.0,0,0.15,0.0,1.18,0.05,5.12,0.1,5.01,72.22,2.71,0.06
2025-08-14 05:39:21.961032478+00:00,23,-89.8,-77.9,578,680,9,0.0,0,0.62,0.0,1.18,0.02,5.12,0.11,5.0,74.88,3.0,0.08
2025-08-14 05:42:31.038517712+00:00,24,-89.4,-77.1,558,662,8,0.0,0,0.61,0.0,1.18,0.05,5.12,0.17,5.0,76.61,3.07,0.08
2025-08-14 05:45:40.805017261+00:00,25,-89.6,-76.5,541,643,9,0.0,0,0.64,0.0,1.19,0.0,5.12,0.15,5.0,76.94,3.19,0.09
2025-08-14 05:48:50.498785393+00:00,26,-89.6,-75.9,531,637,8,0.0,0,0.62,0.0,1.18,0.03,5.12,0.13,5.0,75.47,2.9,0.09
2025-08-14 05:51:59.081840135+00:00,27,-89.4,-75.3,623,705,8,0.0,0,0.6,0.0,1.19,0.02,5.12,0.14,5.0,74.42,3.01,0.06
2025-08-14 05:55:08.062193824+00:00,28,-89.4,-74.6,551,640,8,0.0,0,0.6,0.0,1.18,0.04,5.12,0.09,5.0,74.14,3.24,0.09
2025-08-14 05:58:17.139458212+00:00,29,-89.1,-74.0,497,603,8,0.0,0,0.61,0.0,1.19,0.06,5.12,0.11,5.0,75.39,3.31,0.09
2025-08-14 06:01:26.207385004+00:00,30,-89.6,-73.2,544,652,8,0.0,0,0.6,0.0,1.19,0.0,5.12,0.08,5.0,75.03,3.27,0.11
2025-08-14 06:04:35.099864411+00:00,31,-89.1,-72.6,482,569,8,0.0,0,0.58,0.0,1.19,0.08,5.12,0.1,5.01,70.86,3.28,0.12
2025-08-14 06:07:45.381413716+00:00,32,-89.6,-72.0,440,535,8,0.0,0,0.62,0.0,1.19,0.0,5.12,0.12,5.0,74.36,3.47,0.14
2025-08-14 06:10:53.060906106+00:00,33,-89.6,-71.4,513,619,7,0.0,0,0.15,0.0,1.19,0.08,5.12,0.11,5.01,64.8,3.41,0.11
2025-08-14 06:14:02.747409615+00:00,34,-89.6,-70.8,543,632,9,0.0,0,0.62,0.0,1.18,0.13,5.12,0.1,5.0,72.63,3.17,0.11
2025-08-14 06:17:12.427785409+00:00,35,-89.4,-70.2,533,629,8,0.0,0,0.63,0.0,1.19,0.05,5.12,0.11,5.01,75.37,3.16,0.11
2025-08-14 06:20:21.403834217+00:00,36,-89.8,-69.6,521,616,8,0.0,0,0.63,0.0,1.19,0.01,5.12,0.07,5.01,75.06,3.23,0.1
2025-08-14 06:23:30.783880419+00:00,37,-89.6,-68.8,530,615,9,0.0,0,0.62,0.0,1.18,0.0,5.12,0.12,5.01,71.87,3.19,0.1
2025-08-14 06:26:40.766213132+00:00,38,-89.6,-68.2,535,610,9,0.0,0,0.63,0.0,1.19,0.02,5.12,0.14,5.01,73.82,3.18,0.1
2025-08-14 06:29:50.745149370+00:00,39,-89.6,-67.6,539,610,9,0.0,0,0.64,0.0,1.18,0.02,5.12,0.15,5.01,74.67,3.16,0.11
2025-08-14 06:33:01.023417719+00:00,40,-89.4,-67.0,527,599,9,0.0,0,0.65,0.0,1.18,0.04,5.12,0.14,5.01,74.88,3.25,0.11
2025-08-14 06:36:10.807244412+00:00,41,-89.6,-66.4,535,606,9,0.0,0,0.63,0.0,1.19,0.04,5.12,0.08,5.01,72.71,3.19,0.08
2025-08-14 06:39:19.282909087+00:00,42,-89.6,-65.8,535,604,7,0.0,0,0.2,0.0,0.0,0.0,5.12,0.08,5.02,63.91,3.18,0.13
2025-08-14 06:42:27.366229250+00:00,43,-89.6,-64.9,537,606,7,0.0,0,0.15,0.0,0.0,0.0,5.12,0.06,5.02,57.0,3.16,0.12
2025-08-14 06:45:38.148915898+00:00,44,-89.8,-64.3,537,604,9,0.0,0,0.64,0.0,1.19,0.05,5.12,0.14,5.01,72.55,3.17,0.1
2025-08-14 06:48:48.125093246+00:00,45,-89.4,-63.7,537,604,9,0.0,0,0.67,0.0,1.18,0.04,5.12,0.13,5.01,76.41,3.17,0.11
2025-08-14 06:51:57.805450870+00:00,46,-89.1,-63.1,539,604,9,0.0,0,0.63,0.0,1.19,0.07,5.12,0.11,5.0,72.4,3.17,0.13
2025-08-14 06:55:08.192042439+00:00,47,-89.4,-62.5,540,604,9,0.0,0,0.66,0.0,1.19,0.03,5.12,0.1,5.01,74.18,3.16,0.12
2025-08-14 06:58:18.167260838+00:00,48,-89.6,-61.9,539,601,9,0.0,0,0.65,0.0,1.19,0.06,5.12,0.08,5.0,72.82,3.18,0.11
2025-08-14 07:01:28.074528799+00:00,49,-89.4,-61.1,537,597,9,0.0,0,0.65,0.0,1.19,0.04,5.12,0.08,5.0,73.48,3.21,0.11
2025-08-14 07:04:38.130838806+00:00,50,-88.9,-60.5,531,590,9,0.0,0,0.66,0.0,1.19,0.02,5.12,0.11,5.0,74.5,3.24,0.12
2025-08-14 07:07:48.215463444+00:00,51,-89.1,-59.9,525,580,9,0.0,0,0.67,0.0,1.19,0.01,5.12,0.16,5.0,74.97,3.28,0.11
2025-08-14 07:10:58.187731360+00:00,52,-88.9,-59.3,591,654,9,0.0,0,0.66,0.0,1.18,0.04,5.12,0.14,5.01,73.37,2.99,0.08
2025-08-14 07:14:08.167075188+00:00,53,-88.7,-58.7,533,588,9,0.0,0,0.67,0.0,1.18,0.07,5.12,0.1,5.01,74.17,3.26,0.1
2025-08-14 07:17:18.231582413+00:00,54,-88.5,-58.1,596,660,9,0.0,0,0.68,0.0,1.19,0.04,5.12,0.12,5.01,75.76,2.95,0.09
2025-08-14 07:20:28.227864262+00:00,55,-88.3,-57.3,599,661,9,0.0,0,0.66,0.0,1.19,0.04,5.12,0.11,5.01,73.19,2.94,0.09
2025-08-14 07:23:38.514411383+00:00,56,-88.5,-56.7,524,577,10,0.0,0,0.66,0.0,1.18,0.01,5.12,0.1,5.01,71.72,3.29,0.11
2025-08-14 07:26:49.490255710+00:00,57,-88.3,-56.1,548,603,10,0.0,0,0.68,0.0,1.17,0.03,5.12,0.09,5.01,73.57,3.23,0.11
2025-08-14 07:30:00.472077991+00:00,58,-88.1,-55.5,562,616,10,0.0,0,0.68,0.0,1.17,0.0,5.12,0.14,5.01,74.02,3.18,0.12
2025-08-14 07:33:12.557735499+00:00,59,-88.1,-54.8,564,614,10,0.0,0,0.67,0.0,1.18,0.06,5.12,0.1,5.01,73.05,3.17,0.07
2025-08-14 07:36:23.535403570+00:00,60,-88.1,-54.0,610,657,10,0.0,0,0.67,0.0,1.18,0.02,5.12,0.13,5.01,72.23,2.99,0.08
2025-08-14 07:39:34.518283707+00:00,61,-87.9,-53.4,675,730,10,0.0,0,0.67,0.0,1.18,0.04,5.12,0.17,5.01,72.9,2.62,0.08
2025-08-14 07:42:45.598831534+00:00,62,-87.7,-52.8,713,764,10,0.0,0,0.69,0.0,1.18,0.06,5.12,0.14,5.01,74.86,2.46,0.08
2025-08-14 07:45:56.579213648+00:00,63,-87.7,-52.2,716,765,10,0.0,0,0.67,0.0,1.19,0.02,5.12,0.12,5.01,72.49,2.45,0.09
